rank,youtuber,subscribers,video_views,video_count,category,started,views_per_video,subs_to_views_ratio,channel_age,subs_per_video,engagement_score,year
1,MrBeast,284000000.0,52402898889.0,803.0,Entertainment,1970-01-01 00:00:00.000002012,65258902.7260274,0.005419547506361619,12,353673.72353673726,184.51724960915493,1970
2,T-Series,268000000.0,258624000000.0,21237.0,Music,1970-01-01 00:00:00.000002006,12177991.241700806,0.001036253402623113,18,12619.48486132693,965.0149253731344,1970
3,YouTube Movies,181000000.0,0.0,0.0,Film & Animation,1970-01-01 00:00:00.000002015,0.0,181000000.0,9,181000000.0,0.0,1970
4,Cocomelon - Nursery Rhymes,177000000.0,182881000000.0,1188.0,Education,1970-01-01 00:00:00.000002006,153940235.6902357,0.0009678424768018547,18,148989.898989899,1033.225988700565,1970
5,SET India,174000000.0,165395000000.0,139720.0,Shows,1970-01-01 00:00:00.000002006,1183760.3778986544,0.0010520269657486622,18,1245.3478385342112,950.5459770114943,1970
6,? Kids Diana Show,123000000.0,103973000000.0,1230.0,People & Blogs,1970-01-01 00:00:00.000002015,84530894.3089431,0.0011829994325449876,9,100000.0,845.3089430894308,1970
7,Music,121000000.0,0.0,0.0,,1970-01-01 00:00:00.000002013,0.0,121000000.0,11,121000000.0,0.0,1970
8,Vlad and Niki,120000000.0,91646190811.0,730.0,Entertainment,1970-01-01 00:00:00.000002018,125542727.13835616,0.001309383389948781,6,164383.56164383562,763.7182567583334,1970
9,Like Nastya,116000000.0,101394000000.0,886.0,People & Blogs,1970-01-01 00:00:00.000002016,114440180.58690745,0.0011440519162869598,8,130925.5079006772,874.0862068965517,1970
10,PewDiePie,111000000.0,29321159091.0,4767.0,Gaming,1970-01-01 00:00:00.000002010,6150861.986784141,0.003785662076165023,14,23285.08495909377,264.1545864054054,1970
11,Zee Music Company,108000000.0,67216985556.0,11377.0,Music,1970-01-01 00:00:00.000002014,5908146.748351938,0.0016067367363569547,10,9492.836424364947,622.3794958888889,1970
12,WWE,102000000.0,85384982910.0,77038.0,Sports,1970-01-01 00:00:00.000002007,1108348.9045665776,0.0011945894526618698,17,1324.0219112645707,837.1076755882353,1970
13,Goldmines,97500000.0,29155729617.0,8620.0,Film & Animation,1970-01-01 00:00:00.000002012,3382335.222389791,0.003344111132898904,12,11310.90487238979,299.0331242769231,1970
14,BLACKPINK,94000000.0,36021960664.0,596.0,People & Blogs,1970-01-01 00:00:00.000002016,60439531.315436244,0.0026095192562336756,8,157718.12080536914,383.2123474893617,1970
15,Gaming,93200000.0,0.0,0.0,,1970-01-01 00:00:00.000002013,0.0,93200000.0,11,93200000.0,0.0,1970
16,Sony SAB,93000000.0,115866000000.0,86358.0,Shows,1970-01-01 00:00:00.000002007,1341693.8789689431,0.000802651338615297,17,1076.9123879663725,1245.8709677419354,1970
17,ChuChu TV Nursery Rhymes & Kids Songs,91600000.0,51262420930.0,800.0,Education,1970-01-01 00:00:00.000002013,64078026.1625,0.0017868840046606827,11,114500.0,559.6334162663755,1970
18,Zee TV,81200000.0,90000427523.0,176124.0,Entertainment,1970-01-01 00:00:00.000002005,511006.03848992754,0.0009022179364564573,19,461.0388135631714,1108.3796492980296,1970
19,5-Minute Crafts,80700000.0,27434203181.0,7075.0,Howto & Style,1970-01-01 00:00:00.000002016,3877625.8913074206,0.002941583521401128,8,11406.36042402827,339.95295143742254,1970
20,BANGTANTV,78400000.0,22968911487.0,2514.0,Music,1970-01-01 00:00:00.000002012,9136400.75059666,0.0034133093352888325,12,31185.361972951472,292.97080978316325,1970
